Order_Date,Region,Category,Sub_Category,Customer_Segment,Sales,Quantity,Discount,Profit
2024-07-24,East,Furniture,Chairs,Corporate,58.11,9,0.2,-0.82
2023-04-18,West,Office Supplies,Binders,Consumer,322.25,11,0.2,34.35
2023-11-20,West,Furniture,Tables,Corporate,476.34,7,0.0,175.78
2024-11-15,East,Technology,Accessories,Consumer,216.76,13,0.0,76.79
2024-08-31,East,Furniture,Tables,Consumer,121.69,6,0.1,38.78
2023-05-17,North,Office Supplies,Paper,Corporate,56.45,10,0.0,24.2
2023-07-22,East,Furniture,Bookcases,Consumer,222.24,13,0.3,10.55
2023-08-19,North,Technology,Phones,Consumer,214.28,11,0.0,58.46
2024-05-02,West,Furniture,Bookcases,Home Office,57.16,7,0.0,13.75
2024-07-28,West,Office Supplies,Binders,Consumer,118.91,2,0.1,5.68
2024-12-26,North,Office Supplies,Binders,Corporate,702.31,8,0.3,38.23
2023-08-19,North,Furniture,Tables,Corporate,55.88,9,0.2,-11.06
2024-11-30,East,Technology,Accessories,Home Office,23.25,11,0.2,-10.63
2023-09-26,South,Furniture,Chairs,Consumer,147.84,2,0.0,52.25
2024-01-21,East,Office Supplies,Storage,Home Office,298.88,5,0.3,28.13
2023-07-01,South,Technology,Phones,Corporate,135.9,11,0.4,0.26
2024-10-10,North,Technology,Phones,Corporate,240.85,7,0.2,30.21
2024-04-15,West,Furniture,Chairs,Home Office,,10,0.0,39.27
2023-04-02,East,Furniture,Chairs,Corporate,238.5,12,0.0,88.68
2023-05-20,South,Furniture,Chairs,Corporate,32.5,12,0.0,23.25
2023-01-08,North,Furniture,Tables,Corporate,966.17,9,0.2,135.72
2023-11-28,North,Office Supplies,Binders,Home Office,38.74,10,0.2,41.06
2024-04-20,South,Technology,Phones,Home Office,105.53,9,0.2,14.15
2023-01-25,North,Furniture,Chairs,Home Office,69.36,14,0.1,11.53
2024-11-07,South,Furniture,Tables,Corporate,36.56,8,0.4,-2.68
2023-03-30,East,Technology,Laptops,Consumer,314.12,6,0.0,142.56
2024-05-31,South,Technology,Accessories,Consumer,65.93,4,0.2,9.76
2024-05-25,South,Furniture,Chairs,Corporate,331.32,11,0.1,83.41
2024-09-25,North,Furniture,Chairs,Consumer,428.81,14,0.0,126.59
2023-09-21,South,Furniture,Bookcases,Consumer,862.5,13,0.1,214.07
2023-09-10,South,Office Supplies,Paper,Consumer,245.22,13,0.0,96.49
2023-04-14,North,Furniture,Tables,Home Office,54.92,5,0.2,16.31
2023-12-31,North,Office Supplies,Storage,Consumer,92.87,14,0.0,27.75
2023-07-05,West,Furniture,Tables,Home Office,217.92,10,0.0,79.09
2023-08-23,East,Technology,Laptops,Consumer,368.7,6,0.0,119.97
2023-12-30,East,Furniture,Chairs,Home Office,44.25,4,0.4,-12.32
2023-08-11,South,Office Supplies,Binders,Corporate,449.05,14,0.0,135.03
2023-07-10,South,Technology,Accessories,Consumer,149.16,12,0.1,51.03
2024-04-14,West,Furniture,Bookcases,Home Office,249.44,1,0.3,-3.15
2024-11-04,West,Office Supplies,Storage,Home Office,307.9,1,0.2,55.95
2023-09-29,East,Office Supplies,Binders,Home Office,193.32,14,0.1,61.09
2023-11-13,North,Furniture,Tables,Corporate,143.32,6,0.2,19.24
2023-02-11,North,Technology,Accessories,Home Office,157.13,10,0.3,-30.19
2024-09-06,West,Furniture,Bookcases,Corporate,302.03,12,0.0,84.41
2023-03-05,West,Office Supplies,Paper,Consumer,183.57,6,0.1,36.22
2024-05-16,North,Furniture,Chairs,Corporate,144.94,2,0.0,50.41
2024-08-10,South,Technology,Accessories,Home Office,79.24,3,0.2,4.74
2023-04-08,South,Office Supplies,Paper,Home Office,113.79,3,0.1,32.9
2023-12-10,East,Office Supplies,Binders,Corporate,293.45,5,0.2,25.68
2023-03-16,North,Office Supplies,Paper,Corporate,54.55,10,0.2,2.35
2023-08-03,East,Furniture,Tables,Home Office,566.03,12,0.0,210.83
2024-06-05,South,Technology,Laptops,Consumer,682.69,6,0.0,253.87
2023-04-23,East,Furniture,Chairs,Corporate,434.76,12,0.3,15.73
2024-10-24,West,Furniture,Bookcases,Home Office,187.87,13,0.1,43.5
2024-09-04,North,Office Supplies,Paper,Consumer,111.47,12,0.1,7.73
2024-11-02,North,Office Supplies,Binders,Home Office,1215.61,11,0.0,407.05
2024-03-18,East,Technology,Accessories,Corporate,250.62,12,0.0,109.1
2023-09-08,West,Technology,Accessories,Corporate,30.16,7,0.2,36.71
2023-12-22,East,Office Supplies,Binders,Consumer,310.13,3,0.0,102.81
2023-08-05,South,Technology,Phones,Corporate,48.76,13,0.2,20.12
2024-01-20,South,Technology,Laptops,Corporate,34.03,7,0.0,22.28
2024-09-11,East,Office Supplies,Storage,Consumer,258.9,7,0.0,89.26
2023-01-07,South,Furniture,Tables,Consumer,66.72,14,0.3,-18.05
2023-09-16,North,Office Supplies,Storage,Corporate,114.78,5,0.0,38.43
2024-06-07,West,Office Supplies,Binders,Corporate,399.33,1,0.1,96.49
2024-02-29,North,Technology,Phones,Consumer,659.7,8,0.0,234.05
2023-11-22,East,Office Supplies,Storage,Home Office,234.98,13,0.0,72.96
2023-02-10,North,Furniture,Tables,Corporate,253.69,11,0.0,78.59
2023-10-30,South,Technology,Phones,Consumer,246.22,7,0.1,56.07
2023-07-14,West,Technology,Phones,Corporate,635.79,7,0.2,114.9
2023-01-12,North,Furniture,Chairs,Consumer,185.35,11,0.3,12.71
2023-12-01,North,Furniture,Chairs,Home Office,640.69,13,0.0,210.42
2023-10-12,West,Furniture,Bookcases,Home Office,435.15,1,0.0,148.54
2023-11-06,East,Furniture,Bookcases,Consumer,329.83,5,0.4,1.61
2024-05-07,South,Furniture,Tables,Corporate,303.09,2,0.1,67.8
2023-07-25,South,Office Supplies,Paper,Home Office,87.53,12,0.2,9.84
2024-08-23,West,Office Supplies,Binders,Home Office,45.41,6,0.1,11.36
2024-04-20,South,Furniture,Chairs,Consumer,93.42,3,0.3,8.48
2023-08-13,East,Technology,Phones,Corporate,60.03,1,0.2,14.72
2024-08-15,West,Furniture,Chairs,Home Office,145.42,5,0.2,14.71
2024-03-15,North,Furniture,Tables,Consumer,114.83,6,0.0,34.32
2024-01-31,East,Office Supplies,Paper,Corporate,98.87,10,0.1,35.35
2023-05-23,West,Furniture,Chairs,Corporate,219.92,8,0.0,63.73
2024-03-23,North,Furniture,Tables,Home Office,354.31,6,0.2,67.94
2023-01-29,North,Technology,Accessories,Corporate,621.79,9,0.1,163.53
2023-05-25,South,Office Supplies,Binders,Corporate,441.02,12,0.2,78.77
2024-07-20,West,Furniture,Bookcases,Home Office,37.81,7,0.0,9.93
2024-01-13,East,Office Supplies,Binders,Corporate,356.37,9,0.0,134.67
2023-10-07,East,Office Supplies,Binders,Home Office,765.32,13,0.1,206.03
2024-01-14,South,Technology,Laptops,Consumer,383.48,10,0.2,76.04
2023-08-25,East,Furniture,Chairs,Corporate,504.75,3,0.0,198.44
2023-07-15,North,Technology,Laptops,Corporate,55.3,12,0.0,46.35
2024-06-03,West,Furniture,Bookcases,Home Office,379.05,3,0.4,-30.87
2024-10-02,West,Technology,Phones,Home Office,1468.11,12,0.0,500.59
2024-04-29,South,Furniture,Bookcases,Corporate,289.47,12,0.1,68.28
2023-01-07,West,Technology,Phones,Corporate,267.71,12,0.3,3.89
2024-06-26,South,Technology,Phones,Corporate,354.03,2,0.1,92.47
2024-09-16,East,Technology,Laptops,Corporate,89.38,2,0.4,-26.82
2024-05-25,South,Office Supplies,Paper,Corporate,252.27,7,0.1,44.69
2024-03-20,North,Technology,Accessories,Consumer,23.34,9,0.2,-17.06
2024-09-03,North,Office Supplies,Binders,Home Office,269.49,9,0.4,1.6
2024-11-06,North,Furniture,Bookcases,Corporate,609.26,10,0.0,201.11
2023-11-11,West,Furniture,Bookcases,Corporate,188.23,2,0.0,56.35
2024-08-26,North,Technology,Laptops,Consumer,161.44,2,0.0,52.73
2024-10-28,South,Furniture,Tables,Consumer,163.96,5,0.0,34.6
2024-04-01,South,Technology,Accessories,Consumer,74.75,9,0.1,11.34
2024-12-19,South,Technology,Phones,Corporate,,14,0.1,72.57
2023-10-14,East,Office Supplies,Binders,Consumer,81.34,7,0.0,18.29
2023-06-01,West,Furniture,Chairs,Home Office,687.23,5,0.3,31.58
2024-06-28,East,Furniture,Chairs,Consumer,110.05,11,0.0,75.85
2023-04-27,South,Office Supplies,Storage,Corporate,291.94,13,0.3,41.38
2024-03-24,East,Technology,Accessories,Home Office,211.8,11,0.1,66.34
2023-06-22,North,Furniture,Chairs,Home Office,71.79,5,0.0,3.5
2023-10-09,South,Furniture,Chairs,Home Office,77.35,14,0.0,13.36
2023-05-26,East,Furniture,Chairs,Home Office,31.01,2,0.1,-3.36
2024-12-21,East,Furniture,Tables,Corporate,,14,0.2,107.86
2024-09-02,East,Furniture,Bookcases,Home Office,36.01,6,0.2,4.75
2024-11-21,North,Furniture,Chairs,Corporate,148.0,12,0.1,49.72
2023-12-15,North,Technology,Laptops,Home Office,549.24,5,0.0,164.48
2024-07-23,North,Office Supplies,Paper,Corporate,358.96,9,0.0,130.32
2023-11-03,West,Furniture,Tables,Corporate,234.38,4,0.0,79.22
2023-07-14,South,Technology,Phones,Corporate,419.27,4,0.4,-24.66
2023-10-23,West,Technology,Laptops,Corporate,238.11,6,0.2,34.36
2023-07-25,South,Technology,Phones,Consumer,610.88,1,0.0,180.93
2024-12-04,East,Office Supplies,Binders,Corporate,88.3,9,0.1,3.87
2023-08-25,West,Office Supplies,Storage,Corporate,99.87,4,0.0,43.17
2024-11-06,North,Office Supplies,Storage,Consumer,46.38,1,0.0,39.78
2024-08-11,West,Furniture,Tables,Home Office,48.3,14,0.0,9.4
2024-10-23,East,Office Supplies,Binders,Corporate,102.76,13,0.0,13.43
2023-06-21,South,Technology,Accessories,Home Office,218.84,14,0.0,85.36
2024-07-19,East,Technology,Laptops,Corporate,38.29,4,0.0,10.57
2024-03-16,North,Office Supplies,Binders,Home Office,160.16,11,0.2,7.71
2024-11-02,South,Office Supplies,Storage,Corporate,64.95,3,0.0,22.23
2023-12-16,North,Furniture,Bookcases,Home Office,,1,0.0,126.17
2024-07-24,East,Technology,Laptops,Home Office,47.54,11,0.1,32.28
2024-09-19,East,Furniture,Bookcases,Corporate,61.06,8,0.0,7.24
2023-05-20,East,Furniture,Bookcases,Home Office,164.02,4,0.3,21.21
2023-11-26,South,Office Supplies,Paper,Consumer,32.72,1,0.0,23.56
2023-04-02,North,Technology,Laptops,Consumer,150.79,3,0.0,33.74
2023-02-03,North,Furniture,Chairs,Home Office,43.19,7,0.0,36.04
2023-01-17,East,Office Supplies,Storage,Consumer,154.39,1,0.0,63.02
2024-10-19,South,Technology,Phones,Corporate,199.81,9,0.1,47.87
2023-12-12,West,Technology,Phones,Home Office,870.6,12,0.2,138.83
2023-09-14,South,Furniture,Chairs,Corporate,121.63,11,0.0,48.01
2023-12-23,East,Technology,Laptops,Home Office,86.06,2,0.1,8.59
2023-07-03,South,Technology,Phones,Corporate,247.47,7,0.3,-12.03
2023-10-09,West,Technology,Phones,Consumer,58.05,8,0.2,5.37
2024-02-14,North,Office Supplies,Storage,Consumer,549.73,3,0.3,30.16
2023-04-16,West,Technology,Accessories,Consumer,321.5,3,0.1,76.5
2023-06-26,North,Furniture,Tables,Consumer,32.87,6,0.3,-2.99
2024-08-06,East,Office Supplies,Storage,Corporate,823.13,10,0.1,219.21
2023-09-14,South,Furniture,Bookcases,Consumer,58.96,14,0.1,-16.29
2024-05-18,North,Furniture,Bookcases,Corporate,87.6,7,0.0,35.8
2024-05-20,West,Technology,Laptops,Consumer,950.13,3,0.0,344.1
2024-08-30,North,Furniture,Bookcases,Corporate,202.64,4,0.0,63.05
2023-06-02,North,Furniture,Bookcases,Home Office,154.23,14,0.0,37.58
2024-03-17,East,Office Supplies,Storage,Corporate,149.98,9,0.4,5.95
2024-06-13,North,Technology,Accessories,Home Office,46.13,14,0.1,38.31
2024-01-15,North,Furniture,Chairs,Corporate,124.79,14,0.1,40.28
2024-08-26,West,Office Supplies,Storage,Consumer,986.19,3,0.1,235.68
2023-01-27,West,Furniture,Tables,Home Office,240.84,2,0.0,108.29
2024-09-25,South,Furniture,Chairs,Home Office,80.05,5,0.2,19.2
2023-09-25,West,Technology,Laptops,Corporate,59.66,4,0.3,-14.05
2023-10-30,East,Furniture,Chairs,Consumer,108.45,13,0.1,35.45
2024-05-14,West,Furniture,Chairs,Home Office,137.43,4,0.1,51.3
2023-05-27,West,Office Supplies,Paper,Corporate,44.41,4,0.1,7.39
2024-01-06,North,Technology,Accessories,Home Office,219.47,2,0.2,30.21
2023-09-27,West,Furniture,Chairs,Corporate,307.3,10,0.0,68.0
2023-01-28,West,Furniture,Chairs,Consumer,25.29,14,0.0,13.13
2024-02-05,North,Office Supplies,Paper,Corporate,79.38,7,0.1,13.82
2023-10-28,South,Office Supplies,Paper,Corporate,122.15,7,0.1,17.77
2023-03-13,East,Technology,Accessories,Consumer,319.19,3,0.0,103.56
2023-07-09,South,Office Supplies,Binders,Corporate,126.0,1,0.2,27.32
2024-10-08,North,Technology,Accessories,Consumer,253.57,2,0.0,91.03
2023-08-14,West,Office Supplies,Storage,Consumer,69.88,1,0.2,45.97
2024-10-20,East,Technology,Phones,Corporate,107.96,7,0.2,3.6
2024-03-22,East,Furniture,Bookcases,Home Office,374.75,13,0.0,136.3
2023-04-28,South,Furniture,Tables,Corporate,589.19,12,0.0,224.96
2024-04-21,West,Office Supplies,Paper,Consumer,255.64,7,0.0,133.16
2023-12-06,East,Furniture,Bookcases,Corporate,529.47,2,0.1,124.1
2023-12-11,South,Office Supplies,Storage,Corporate,65.63,9,0.1,28.62
2024-03-12,East,Technology,Accessories,Consumer,37.88,4,0.0,-4.57
2024-09-26,East,Furniture,Tables,Home Office,419.87,13,0.0,157.24
2024-01-02,South,Office Supplies,Paper,Home Office,135.17,14,0.2,20.61
2023-12-07,South,Furniture,Tables,Consumer,195.52,14,0.0,76.5
2024-08-30,North,Technology,Laptops,Consumer,53.2,2,0.1,19.78
2023-04-02,North,Furniture,Bookcases,Home Office,202.08,2,0.0,63.38
2023-04-08,East,Furniture,Tables,Consumer,77.6,7,0.2,27.87
2024-07-17,East,Office Supplies,Paper,Corporate,24.41,8,0.0,16.57
2023-01-21,South,Furniture,Chairs,Corporate,96.19,7,0.1,7.84
2024-05-04,East,Technology,Accessories,Consumer,417.71,1,0.3,-3.37
2024-05-25,North,Furniture,Chairs,Corporate,73.3,6,0.0,31.55
2024-08-14,South,Furniture,Bookcases,Home Office,672.91,1,0.2,79.74
2024-05-26,South,Technology,Phones,Home Office,67.91,4,0.3,6.99
2023-02-25,North,Office Supplies,Paper,Consumer,249.23,4,0.0,95.63
2024-10-20,South,Furniture,Tables,Home Office,420.68,4,0.2,75.98
2024-03-13,North,Furniture,Tables,Consumer,147.43,7,0.1,-1.04
2023-11-01,East,Technology,Laptops,Home Office,232.23,1,0.2,36.16
2024-09-30,East,Office Supplies,Storage,Consumer,345.6,6,0.2,35.85
2024-11-05,West,Technology,Laptops,Consumer,276.08,2,0.0,83.45
2024-07-16,South,Technology,Phones,Corporate,376.6,7,0.3,27.43
2023-02-09,South,Office Supplies,Binders,Consumer,637.13,1,0.0,214.68
2023-01-26,West,Office Supplies,Binders,Home Office,20.24,11,0.2,11.74
2023-07-23,West,Office Supplies,Binders,Corporate,298.46,7,0.2,55.32
2024-05-03,North,Technology,Phones,Home Office,191.66,10,0.0,56.18
2024-11-19,West,Furniture,Bookcases,Home Office,509.04,6,0.0,203.46
2023-06-15,West,Technology,Phones,Consumer,394.95,12,0.3,47.81
2023-02-10,North,Furniture,Bookcases,Consumer,86.56,3,0.0,7.32
2023-06-12,East,Furniture,Tables,Home Office,173.14,8,0.2,27.06
2023-09-14,South,Furniture,Chairs,Consumer,30.01,9,0.4,-8.33
2023-11-05,North,Technology,Accessories,Home Office,117.72,5,0.4,-12.62
2024-08-02,South,Furniture,Bookcases,Corporate,114.28,1,0.0,32.4
2024-11-21,East,Technology,Phones,Corporate,70.85,7,0.2,17.85
2023-11-08,North,Technology,Laptops,Home Office,23.53,4,0.1,-0.89
2023-10-22,West,Office Supplies,Storage,Home Office,370.07,10,0.0,106.89
2024-01-21,West,Furniture,Bookcases,Corporate,281.24,12,0.2,37.08
2023-10-29,West,Technology,Phones,Corporate,1212.89,5,0.2,199.54
2023-09-08,East,Furniture,Chairs,Home Office,59.63,8,0.0,47.27
2024-10-24,East,Office Supplies,Binders,Corporate,95.67,12,0.1,22.73
2024-08-29,South,Office Supplies,Paper,Consumer,73.4,10,0.1,33.18
2024-11-14,South,Technology,Laptops,Home Office,166.11,10,0.2,20.55
2023-12-25,South,Office Supplies,Storage,Consumer,33.26,13,0.4,-8.85
2023-04-23,North,Office Supplies,Storage,Consumer,164.76,2,0.0,99.75
2024-05-17,East,Technology,Accessories,Corporate,1064.23,9,0.4,-53.16
2024-10-09,West,Technology,Laptops,Corporate,619.78,13,0.4,-15.13
2023-10-16,East,Technology,Phones,Corporate,72.66,13,0.1,-5.32
2024-08-16,West,Technology,Laptops,Home Office,279.02,12,0.1,62.96
2023-10-12,North,Office Supplies,Storage,Corporate,34.57,8,0.1,4.75
2024-07-28,West,Furniture,Tables,Corporate,259.68,6,0.1,23.84
2023-02-20,South,Office Supplies,Paper,Corporate,194.26,5,0.2,2.76
2024-10-01,East,Furniture,Bookcases,Corporate,217.93,9,0.2,42.0
2024-08-09,South,Office Supplies,Binders,Consumer,308.25,13,0.0,101.38
2023-06-15,East,Technology,Phones,Consumer,74.37,4,0.2,-6.9
2023-06-06,South,Furniture,Chairs,Corporate,277.35,13,0.0,90.68
2023-06-17,North,Office Supplies,Storage,Home Office,306.85,8,0.2,46.4
2024-10-31,East,Office Supplies,Storage,Home Office,837.93,13,0.3,41.11
2024-10-31,North,Technology,Accessories,Corporate,296.32,7,0.1,90.15
2024-12-09,East,Office Supplies,Paper,Corporate,265.5,2,0.0,95.45
2023-05-08,South,Furniture,Chairs,Corporate,126.95,10,0.2,12.57
2024-01-01,West,Furniture,Chairs,Home Office,240.61,7,0.1,52.1
2023-10-22,East,Technology,Accessories,Consumer,622.53,1,0.1,155.05
2024-05-27,East,Furniture,Tables,Corporate,271.9,3,0.1,61.59
2024-03-10,West,Office Supplies,Storage,Corporate,117.45,12,0.1,11.12
2023-05-11,North,Furniture,Tables,Corporate,24.09,12,0.1,-8.65
2024-06-02,East,Office Supplies,Binders,Corporate,34.07,1,0.1,34.96
2023-11-01,West,Office Supplies,Binders,Corporate,1126.0,14,0.2,150.65
2024-04-13,East,Office Supplies,Storage,Consumer,196.06,6,0.2,12.77
2023-09-15,East,Technology,Accessories,Corporate,123.59,14,0.2,6.81
2024-10-02,South,Office Supplies,Storage,Home Office,121.53,10,0.3,28.54
2023-03-31,North,Office Supplies,Binders,Home Office,299.77,5,0.0,110.26
2024-06-29,North,Office Supplies,Binders,Corporate,365.19,14,0.3,27.45
2023-06-02,South,Furniture,Bookcases,Corporate,79.17,13,0.1,42.4
2023-10-24,East,Technology,Accessories,Home Office,419.63,9,0.0,149.85
2023-08-30,East,Furniture,Tables,Consumer,166.79,9,0.0,75.86
2023-09-20,North,Office Supplies,Paper,Corporate,38.45,11,0.4,-15.28
2023-05-09,West,Technology,Phones,Consumer,92.69,6,0.0,29.41
2023-01-09,East,Office Supplies,Binders,Home Office,31.66,10,0.1,-7.42
2023-12-18,West,Technology,Phones,Consumer,58.6,13,0.2,11.84
2024-03-17,North,Office Supplies,Binders,Corporate,73.38,3,0.4,-25.3
2024-05-25,South,Office Supplies,Binders,Home Office,165.77,1,0.1,33.26
2023-01-05,West,Furniture,Chairs,Corporate,33.16,13,0.1,13.45
2023-01-28,South,Technology,Laptops,Consumer,196.38,7,0.4,-7.11
2024-10-27,East,Technology,Phones,Consumer,281.05,4,0.0,93.63
2023-10-16,North,Technology,Phones,Consumer,383.37,13,0.0,109.75
2024-04-21,North,Technology,Phones,Corporate,1435.63,13,0.3,71.71
2024-10-14,East,Technology,Laptops,Consumer,174.39,3,0.1,24.05
2023-04-14,East,Technology,Laptops,Consumer,255.47,9,0.0,67.31
2024-10-22,East,Technology,Accessories,Home Office,173.29,5,0.4,20.88
2023-12-16,West,Office Supplies,Storage,Consumer,202.49,8,0.1,56.59
2024-03-30,East,Office Supplies,Binders,Corporate,118.98,5,0.3,18.03
2024-05-16,South,Office Supplies,Storage,Corporate,53.9,6,0.0,41.75
2023-02-20,North,Technology,Phones,Corporate,109.13,1,0.0,33.2
2023-05-19,West,Office Supplies,Paper,Consumer,231.52,14,0.1,55.8
2024-11-29,South,Furniture,Tables,Home Office,42.52,3,0.0,21.59
2024-02-08,North,Technology,Phones,Corporate,53.94,6,0.3,33.22
2023-08-30,West,Furniture,Tables,Corporate,48.42,8,0.2,17.89
2024-01-22,North,Furniture,Tables,Home Office,,11,0.0,48.53
2023-05-07,South,Office Supplies,Storage,Home Office,29.79,9,0.0,15.28
